city,keep_frac,seed,station,MAE,RMSE,R2
beijing,0.5,42,Wanshouxigong,13.578411102294922,26.769854726358012,0.9322534799575806
beijing,0.5,42,__aggregate__,12.130377769470215,22.537863513386686,0.9407542943954468
beijing,0.25,42,Aotizhongxin,11.522366523742676,20.181527119255232,0.953016996383667
beijing,0.25,42,Changping,11.424051284790039,20.827644405558086,0.9333814978599548
beijing,0.25,42,Dingling,10.142790794372559,19.29564378030659,0.9367685317993164
beijing,0.25,42,Dongsi,14.61603832244873,25.19339866762286,0.938346803188324
beijing,0.25,42,Guanyuan,12.860464096069336,23.56225650570473,0.938012957572937
beijing,0.25,42,Gucheng,11.877253532409668,22.43926603969904,0.9496402740478516
beijing,0.25,42,Huairou,9.573721885681152,19.96186932144985,0.931812584400177
beijing,0.25,42,Nongzhanguan,12.552453994750977,22.170755262643077,0.9494426250457764
beijing,0.25,42,Shunyi,11.171629905700684,20.79842012714322,0.9481939077377319
beijing,0.25,42,Tiantan,11.990474700927734,21.10040115047431,0.9495765566825867
beijing,0.25,42,Wanliu,11.234084129333496,20.6646251695606,0.9482271671295166
beijing,0.25,42,Wanshouxigong,13.206270217895508,25.30636137949372,0.9394583106040955
beijing,0.25,42,__aggregate__,11.847633361816406,21.874780969885588,0.9441891312599182
beijing,0.0,42,Aotizhongxin,11.539714813232422,20.893446395818042,0.9496437907218933
beijing,0.0,42,Changping,11.735856056213379,21.337311294338008,0.9300811886787415
beijing,0.0,42,Dingling,10.694720268249512,19.89382599562338,0.932787299156189
beijing,0.0,42,Dongsi,12.299354553222656,23.406512066707126,0.9467823505401611
beijing,0.0,42,Guanyuan,11.949091911315918,21.32631345328612,0.949219286441803
beijing,0.0,42,Gucheng,11.865961074829102,22.67342156380806,0.9485837817192078
beijing,0.0,42,Huairou,9.78709602355957,20.09076313701733,0.9309291839599609
beijing,0.0,42,Nongzhanguan,11.64262580871582,21.48394104675375,0.9525265097618103
beijing,0.0,42,Shunyi,11.208258628845215,20.909644337442934,0.9476383924484253
beijing,0.0,42,Tiantan,11.646138191223145,20.51015016438507,0.9523581266403198
beijing,0.0,42,Wanliu,11.199419975280762,20.98563147764739,0.9466061592102051
beijing,0.0,42,Wanshouxigong,12.291023254394531,24.91122666323735,0.9413341283798218
beijing,0.0,42,__aggregate__,11.488271713256836,21.58005611719961,0.9456828832626343
